2010-01-01	0
2010-01-02	2.7
2010-01-03	0
2010-01-04	1.8
2010-01-05	0
2010-01-06	0
2010-01-07	0.5
2010-01-08	3
2010-01-09	0
2010-01-10	0
2010-01-11	0
2010-01-12	0
2010-01-13	0
2010-01-14	2.6
2010-01-15	0
2010-01-16	0
2010-01-17	0
2010-01-18	0.3
2010-01-19	0
2010-01-20	5.5
2010-01-21	0
2010-01-22	0
2010-01-23	0
2010-01-24	0
2010-01-25	0
2010-01-26	6.7
2010-01-27	0
2010-01-28	0.2
2010-01-29	0
2010-01-30	0.6
2010-01-31	2.6
2010-02-01	0.1
2010-02-02	0
2010-02-03	1.9
2010-02-04	0
2010-02-05	0
2010-02-06	0
2010-02-07	0
2010-02-08	1.4
2010-02-09	0
2010-02-10	0.3
2010-02-11	0
2010-02-12	0
2010-02-13	0
2010-02-14	0
2010-02-15	0
2010-02-16	7.2
2010-02-17	2.1
2010-02-18	4.3
2010-02-19	0.2
2010-02-20	1.2
2010-02-21	0.6
2010-02-22	1.1
2010-02-23	0
2010-02-24	2.8
2010-02-25	0.1
2010-02-26	0
2010-02-27	2.6
2010-02-28	0.5
2010-03-01	0.183
2010-03-02	6.267
2010-03-03	8.133
2010-03-04	8.867
2010-03-05	1.3
2010-03-06	3.6
2010-03-07	0.333
2010-03-08	4.667
2010-03-09	0.533
2010-03-10	0.367
2010-03-11	9.033
2010-03-12	1.267
2010-03-13	0
2010-03-14	0
2010-03-15	0
2010-03-16	0.617
2010-03-17	5.1
2010-03-18	8.55
2010-03-19	0.067
2010-03-20	0.15
2010-03-21	0.067
2010-03-22	1.067
2010-03-23	2.067
2010-03-24	6.35
2010-03-25	2.9
2010-03-26	0
2010-03-27	5.6
2010-03-28	1.367
2010-03-29	1.15
2010-03-30	1.717
2010-03-31	6.65
2010-04-01	5.217
2010-04-02	5.733
2010-04-03	1.033
2010-04-04	0.95
2010-04-05	6.75
2010-04-06	2.267
2010-04-07	9.433
2010-04-08	0
2010-04-09	6.883
2010-04-10	7.367
2010-04-11	3.483
2010-04-12	3.967
2010-04-13	7.55
2010-04-14	4.217
2010-04-15	2.95
2010-04-16	2.733
2010-04-17	2.933
2010-04-18	2.983
2010-04-19	9.433
2010-04-20	9.683
2010-04-21	2.7
2010-04-22	1.883
2010-04-23	3.233
2010-04-24	3.283
2010-04-25	9.25
2010-04-26	2.25
2010-04-27	9.383
2010-04-28	2.45
2010-04-29	6.2
2010-04-30	2.483
2010-05-01	2.7
2010-05-02	1.883
2010-05-03	0
2010-05-04	2.367
2010-05-05	3.45
2010-05-06	0
2010-05-07	0
2010-05-08	0.65
